"IdAcademie","Academies"
1.0,Aix-Marseille
2.0,Amiens
3.0,Besançon
4.0,Bordeaux
5.0,Clermont-Ferrand
6.0,Corse
7.0,Créteil
8.0,Dijon
9.0,Grenoble
10.0,Guadeloupe
11.0,Guyane
12.0,Lille
13.0,Limoges
14.0,Lyon
15.0,Martinique
16.0,Mayotte
17.0,Montpellier
18.0,Nancy-Metz
19.0,Nantes
20.0,Nice
21.0,Normandie
22.0,Nouvelle Calédonie
23.0,Orléans-Tours
24.0,Paris
25.0,Poitiers
26.0,Polynésie Française
27.0,Reims
28.0,Rennes
29.0,La Réunion
30.0,Saint-Pierre et Miquelon
31.0,Strasbourg
32.0,Toulouse
33.0,Versailles
34.0,Wallis et Futuna
