"Id_Série","LibelléCourt_Série","LibelléLong_Série"
1,S,Scientifique
2,ES,Economique et sociale
3,L,Littéraire
4,STMG,Sciences et technologies du management et de gestion
5,STL,Sciences et technologies de laboratoire
6,TMD,Techniques de la musique et de la danse
7,STI2D,Sciences et technologies de l'industrie et du développement durable
8,STAV,Sciences et technologies de l'agronomie et du vivant
9,STD2A,Sciences et technologies du design et des arts appliqués
10,ST2S,Sciences et technologies de la santé et du social
11,toutes,Toutes séries de la filière
13,ES/L,Economique et sociale / Littéraire
