"Id_Catalogue","Clé_Type_Matériel","Titre_Désignation_Materiel","Editeur_Marque_Matériel","Prix_Materiel","Année_Dépôt_Légal","ISBN","Collection","Auteurs","Clé_Disc","Clé_Niveau","Série","Option","Clé_Filière","Clé_Série"
4,1,Myriade - Mathématiques 6e - Petit format,Bordas,22.2000,"2016","978-2-0473-3358-7",Myriade,,12,4,,,1,11
6,1,Histoire-Géographie-EMC 6e,Lelivrescolaire,27.9000,"2016","979-1-0909-1010-2",Histoire/géo- Enseignement moral et civique,,25,4,,,1,11
9,1,Estupendo ! Espagnol 5e,Nathan,20.5000,"2016","978-2-0917-8130-3",Estupendo !,,8,5,,,1,11
10,1,Tutto Bene ! Italien 5e,Hachette,21.5000,"2016","978-2-0146-2686-5",Tutto Bene !,,10,5,,,1,11
12,1,Myriade - Mathématiques 5e - Petit format,Bordas,22.2000,"2016","978-2-0473-3359-4",Myriade,,12,5,,,1,11
13,1,Sillages - Français 5e - Grand format,Bordas,24.5000,"2016","978-2-0473-3229-0",Sillages - Livre unique,,11,5,,,1,11
14,1,Histoire-Géographie-EMC 5e,Lelivrescolaire,27.9000,"2016","979-1-0909-1011-9",Histoire/géo- Enseignement moral et civique,,25,5,,,1,11
16,1,Hab spa? Neu Allemand Cycle 4,Bordas,35.0000,"2016","978-2-0473-3326-6",Hab spa? Neu,,31,5,,,1,11
17,1,A mi me encanta ! Espagnol 4e,Hachette,21.7000,"2017","978-2-0146-2699-5",¡ A mí me encanta !,,8,6,,,1,11
18,1,Tutto Bene ! Italien 4e,Hachette,21.5000,"2017","978-2-0146-2704-6",Tutto Bene !,,10,6,,,1,11
19,1,New enjoy english Anglais 4e,Didier,20.6000,"2014","978-2-2780-7894-3",New enjoy english,,3,6,,,1,11
20,1,Myriade - Mathématiques 4e - Petit format,Bordas,22.2000,"2016","978-2-0473-3360-0",Myriade,,12,6,,,1,11
21,1,L'envol des lettres Français 4e - Grand format,Belin Education,29.0000,"2016","978-2-7011-9739-5",L'envol des lettres,,11,6,,,1,11
22,1,Histoire-Géographie-EMC 4e,Lelivrescolaire,28.9000,"2016","979-1-0909-1012-6",Histoire/géo- Enseignement moral et civique,,25,6,,,1,11
23,1,Fantastisch Allemand 3e année,Maison Des Langues,20.9000,"2017","978-2-3568-5417-9",Fantastisch,,2,6,,,1,11
26,1,Tutto Bene ! Italien 3e,Hachette,21.5000,"2017","978-2-0146-2705-3",Tutto Bene !,,10,7,,,1,11
27,1,New enjoy english Anglais 3e,Didier,20.6000,"2015","978-2-2780-8096-0",New enjoy english,,3,7,,,1,11
28,1,Myriade - Mathématiques 3e - Petit format,Bordas,0.0000,"2016","978-2-0473-3361-7",Myriade,,12,7,,,1,11
29,1,Fleurs d'encre Français 3e,Hachette,24.9000,"2016","978-2-0139-5329-0",Fleurs d'encre,,11,7,,,1,11
30,1,Histoire-Géographie-EMC 3e,Lelivrescolaire,28.9000,"2016","979-1-0909-1013-3",Histoire/géo- Enseignement moral et civique,,25,7,,,1,11
31,1,"Sciences & Technologie 6e, Fin de cycle 3",Nathan,23.0000,"2016","978-2-0917-1942-9",Sciences et technologie Bordi,,22,4,,,1,11
32,1,Fantastisch Neu 1ère année,Maison Des Langues,20.5000,"2021","978-2-3568-5673-9",Fantastisch Neu,RICHTER HANS PETER,2,4,,,1,11
33,1,¡ A mí me encanta ! 3e,Hachette Education,20.9000,"2022","978-2-0170-3054-6",¡ A mí me encanta !,Isabelle Delhaye,8,7,,,1,11
34,1,New E for English 5e,Didier,20.5000,"2022","978-2-2781-0512-0",New E for English,"Mélanie Herment,Pascaline Gouyette,Astrid Beffara,Laura Cursat,Carine Fauvert,Anna Guill,Corinne Létant,Karine Letellier",3,5,,,1,11
36,1,Fantastisch Neu 2ème année,Maison Des Langues,21.5000,"2022","978-2-3568-5717-0",Fantastisch Neu,,2,5,,,1,11
37,1,Myriade 6e - Grand format,Bordas,27.5000,"2016","978-2-0473-3289-4",Myriade,"Fedele Annicchiarico,Marc Boullis,Elodie Herrmann,Martine Lafon,Yvan Monka,Stéphane Percot",12,4,,,1,11
39,1,Myriade 4e - Grand format,Bordas,27.5000,"2016","978-2-0473-3293-1",Myriade,"Marc Boullis,Collectif",12,6,,,1,11
40,1,Myriade 5e - Grand format,Bordas,27.5000,"2016","978-2-0473-3291-7",Myriade,"Marc Boullis, Maxime Cambon, Yannick Danard, Virginie Gallien",12,5,,,1,11
41,1,Myriade 3e - Grand format,Bordas,27.5000,"2016","978-2-0473-3295-5",Myriade,"Marc Boullis, Maxime Cambon, Yannick Danard, Virginie Gallien",12,7,,,1,11
42,1,E for English 6e,Didier,23.0000,"2025","978-2-2781-0717-9",,"Mélanie Herment,Mark Wallace,Corinne Létant,Anna Guill,Pascaline Gouyette,Julie Delplace,Catherine Pellerin,Arlène Schaller,Rupert Morgan",3,4,,,1,11
44,1,Mission Plumes 6e,Hachette,26.4000,"2025","978-2-0172-9151-0",Mission Plumes,"Pauline Lourdel,Guillaume Plassans,Claire Ridel,Fanny Rivas,Mathilde Spychala,Céline Walkowiak,Isabelle Harbonnier-Valdher,Hélène Bart,Laurence Bot,Soline D'Arexy,Anne Droit,Julia Giberti,Aurélie Lamadie,Carine Lemarié,Fanny Noël",11,4,,,1,11
