"Id_Inventaire_Materiel","Cle_Catalogue_Materiel","Date_Achat_Materiel","NumeroDeSerie","Perdu","Cle_Etat_Materiel","à_imprimer"
1,10,2021-07-01 00:00:00.000,,0,3,0
2,10,2021-07-01 00:00:00.000,,0,3,0
3,10,2021-07-01 00:00:00.000,,0,3,0
4,10,2021-07-01 00:00:00.000,,0,3,0
6,10,2021-07-01 00:00:00.000,,0,3,0
7,10,2021-07-01 00:00:00.000,,0,3,0
8,10,2021-07-01 00:00:00.000,,0,3,0
9,10,2021-07-01 00:00:00.000,,0,3,0
10,10,2021-07-01 00:00:00.000,,0,3,0
11,15,2021-07-01 00:00:00.000,,0,2,0
12,15,2021-07-01 00:00:00.000,,0,2,0
13,15,2021-07-01 00:00:00.000,,0,2,0
14,15,2021-07-01 00:00:00.000,,0,2,0
15,15,2021-07-01 00:00:00.000,,0,2,0
16,15,2021-07-01 00:00:00.000,,0,2,0
17,15,2021-07-01 00:00:00.000,,0,2,0
18,15,2021-07-01 00:00:00.000,,0,2,0
19,15,2021-07-01 00:00:00.000,,0,2,0
20,15,2021-07-01 00:00:00.000,,0,2,0
21,15,2021-07-01 00:00:00.000,,0,2,0
22,15,2021-07-01 00:00:00.000,,0,2,0
23,15,2021-07-01 00:00:00.000,,0,2,0
24,15,2021-07-01 00:00:00.000,,0,2,0
25,15,2021-07-01 00:00:00.000,,0,2,0
26,15,2021-07-01 00:00:00.000,,0,2,0
27,15,2021-07-01 00:00:00.000,,0,2,0
28,15,2021-07-01 00:00:00.000,,0,2,0
29,15,2021-07-01 00:00:00.000,,0,2,0
30,15,2021-07-01 00:00:00.000,,0,2,0
31,15,2021-07-01 00:00:00.000,,0,2,0
32,15,2021-07-01 00:00:00.000,,0,2,0
33,15,2021-07-01 00:00:00.000,,0,2,0
34,15,2021-07-01 00:00:00.000,,0,2,0
179,4,2021-08-24 00:00:00.000,,0,7,0
180,4,2021-08-24 00:00:00.000,,0,7,0
181,4,2021-08-24 00:00:00.000,,0,7,0
182,4,2021-08-24 00:00:00.000,,0,7,0
183,4,2021-08-24 00:00:00.000,,0,7,0
184,4,2021-08-24 00:00:00.000,,0,7,0
185,4,2021-08-24 00:00:00.000,,0,7,0
186,4,2021-08-24 00:00:00.000,,0,7,0
187,4,2021-08-24 00:00:00.000,,-1,1,0
188,4,2021-08-24 00:00:00.000,,-1,7,0
189,4,2021-08-24 00:00:00.000,,0,7,0
190,4,2021-08-24 00:00:00.000,,0,7,0
191,4,2021-08-24 00:00:00.000,,0,7,0
192,4,2021-08-24 00:00:00.000,,0,7,0
193,4,2021-08-24 00:00:00.000,,0,7,0
194,4,2021-08-24 00:00:00.000,,0,7,0
195,4,2021-08-24 00:00:00.000,,-1,7,0
196,4,2021-08-24 00:00:00.000,,0,7,0
197,4,2021-08-24 00:00:00.000,,0,7,0
198,4,2021-08-24 00:00:00.000,,0,7,0
199,4,2021-08-24 00:00:00.000,,0,7,0
200,4,2021-08-24 00:00:00.000,,0,7,0
201,4,2021-08-24 00:00:00.000,,0,7,0
202,4,2021-08-24 00:00:00.000,,-1,7,0
203,4,2021-08-24 00:00:00.000,,0,7,0
204,4,2021-08-24 00:00:00.000,,0,7,0
205,4,2021-08-24 00:00:00.000,,-1,1,0
206,4,2021-08-24 00:00:00.000,,0,7,0
207,4,2021-08-24 00:00:00.000,,0,7,0
208,4,2021-08-24 00:00:00.000,,0,7,0
209,4,2021-08-24 00:00:00.000,,0,7,0
210,4,2021-08-24 00:00:00.000,,0,7,0
211,4,2021-08-24 00:00:00.000,,0,7,0
212,4,2021-08-24 00:00:00.000,,0,7,0
213,4,2021-08-24 00:00:00.000,,0,7,0
214,4,2021-08-24 00:00:00.000,,0,7,0
215,4,2021-08-24 00:00:00.000,,0,7,0
216,4,2021-08-24 00:00:00.000,,0,7,0
217,4,2021-08-24 00:00:00.000,,-1,7,0
218,4,2021-08-24 00:00:00.000,,-1,7,0
219,4,2021-08-24 00:00:00.000,,0,7,0
220,4,2021-08-24 00:00:00.000,,0,7,0
221,4,2021-08-24 00:00:00.000,,0,7,0
222,4,2021-08-24 00:00:00.000,,0,7,0
223,4,2021-08-24 00:00:00.000,,-1,7,0
224,4,2021-08-24 00:00:00.000,,-1,7,0
225,4,2021-08-24 00:00:00.000,,0,7,0
226,4,2021-08-24 00:00:00.000,,0,7,0
227,4,2021-08-24 00:00:00.000,,0,7,0
228,4,2021-08-24 00:00:00.000,,0,7,0
229,4,2021-08-24 00:00:00.000,,0,7,0
230,4,2021-08-24 00:00:00.000,,0,7,0
231,4,2021-08-24 00:00:00.000,,0,7,0
232,4,2021-08-24 00:00:00.000,,0,7,0
233,4,2021-08-24 00:00:00.000,,0,7,0
234,4,2021-08-24 00:00:00.000,,0,7,0
235,4,2021-08-24 00:00:00.000,,-1,7,0
236,4,2021-08-24 00:00:00.000,,0,7,0
237,4,2021-08-24 00:00:00.000,,0,7,0
238,4,2021-08-24 00:00:00.000,,0,7,0
239,4,2021-08-24 00:00:00.000,,0,7,0
240,4,2021-08-24 00:00:00.000,,0,7,0
241,4,2021-08-24 00:00:00.000,,0,7,0
242,4,2021-08-24 00:00:00.000,,0,7,0
243,4,2021-08-24 00:00:00.000,,0,7,0
244,4,2021-08-24 00:00:00.000,,0,7,0
245,4,2021-08-24 00:00:00.000,,-1,7,0
246,4,2021-08-24 00:00:00.000,,-1,7,0
247,4,2021-08-24 00:00:00.000,,0,7,0
248,4,2021-08-24 00:00:00.000,,0,7,0
269,6,2021-08-25 00:00:00.000,,-1,7,0
270,6,2021-08-25 00:00:00.000,,0,7,0
271,6,2021-08-25 00:00:00.000,,0,7,0
272,6,2021-08-25 00:00:00.000,,0,7,0
273,6,2021-08-25 00:00:00.000,,0,7,0
274,6,2021-08-25 00:00:00.000,,0,7,0
275,6,2021-08-25 00:00:00.000,,0,7,0
