"Id_Attribution_Materiel_Prof","Cle_Personnel","Clé_Elève","Cle_Inventaire_Materiel","Date_Heure_Pret_Materiel","Date_Heure_Retour_Materiel","Clé_Etat_Initial","Clé_Etat_Final","Dégradation","Remise"
106,,387,245,2021-09-02 11:02:39.000,,7,,0,0
159,,436,1424,2021-09-02 11:07:07.000,,7,,0,0
321,,413,289,2021-09-02 11:21:32.000,,7,,0,0
329,,335,1624,2021-09-03 10:08:43.000,,7,,0,0
332,,335,462,2021-09-03 10:12:07.000,,7,,0,0
361,,137,1636,2021-09-03 10:15:23.000,,7,,0,0
455,,303,801,2021-09-03 10:45:11.000,,7,,0,0
461,,265,1016,2021-09-03 10:45:24.000,,7,,0,0
463,,265,784,2021-09-03 10:45:27.000,,7,,0,0
515,,159,1029,2021-09-03 10:56:33.000,,7,,0,0
517,,159,822,2021-09-03 10:56:35.000,,7,,0,0
544,,95,1045,2021-09-03 10:57:47.000,,7,,0,0
576,,3,1500,2021-09-03 10:59:52.000,,7,,0,0
584,,2,912,2021-09-03 11:02:10.000,,7,,0,0
665,,64,914,2021-09-03 11:07:49.000,,7,,0,0
666,,64,1034,2021-09-03 11:08:46.000,,7,,0,0
667,,64,959,2021-09-03 11:08:47.000,,7,,0,0
668,,64,770,2021-09-03 11:08:48.000,,7,,0,0
669,,64,831,2021-09-03 11:08:49.000,,7,,0,0
690,,59,1399,2021-09-03 11:13:03.000,,7,,0,0
713,,63,1284,2021-09-03 11:14:51.000,,7,,0,0
728,,67,1086,2021-09-03 11:15:52.000,,7,,0,0
748,,339,665,2021-09-03 11:20:13.000,,7,,0,0
791,,316,467,2021-09-03 11:22:06.000,,7,,0,0
792,,316,1625,2021-09-03 11:22:06.000,,7,,0,0
827,,327,1345,2021-09-03 11:26:08.000,,7,,0,0
889,,36,1483,2021-09-03 11:30:40.000,,1,,0,0
901,,66,1490,2021-09-03 11:31:16.000,,7,,0,0
952,,358,1643,2021-09-03 11:33:34.000,,7,,0,0
955,,358,515,2021-09-03 11:33:38.000,,7,,0,0
1023,,52,1337,2021-09-03 11:41:27.000,,7,,0,0
1079,,242,1263,2021-09-03 11:44:59.000,,7,,0,0
1080,,242,1078,2021-09-03 11:44:59.000,,7,,0,0
1081,,242,1188,2021-09-03 11:45:01.000,,7,,0,0
1093,,245,1352,2021-09-03 11:46:03.000,,7,,0,0
1107,,323,1044,2021-09-06 08:11:17.000,,7,,0,0
1116,,446,217,2021-09-06 08:48:48.000,,7,,0,0
1163,81,,582,2021-10-21 08:46:13.000,,7,,0,0
1166,81,,875,2021-10-21 08:46:38.000,,7,,0,0
1168,81,,1225,2021-10-21 08:46:43.000,,7,,0,0
1288,,459,1554,2022-09-01 10:51:45.000,,1,,0,0
1345,,522,311,2022-09-01 10:55:15.000,,7,,0,0
1346,,522,223,2022-09-01 10:55:16.000,,7,,0,0
1368,,530,1539,2022-09-01 10:56:29.000,,7,,0,0
1370,,530,281,2022-09-01 10:56:36.000,,7,,0,0
1371,,530,202,2022-09-01 10:56:40.000,,7,,0,0
1452,,517,282,2022-09-01 11:03:14.000,,7,,0,0
1453,,517,224,2022-09-01 11:03:16.000,,7,,0,0
1596,,410,522,2022-09-02 10:20:00.000,,7,,0,0
1597,,376,1659,2022-09-02 10:20:05.000,,1,,0,0
1599,,376,672,2022-09-02 10:20:22.000,,7,,0,0
1600,,376,484,2022-09-02 10:20:24.000,,7,,0,0
1601,,376,578,2022-09-02 10:20:26.000,,7,,0,0
1637,,433,627,2022-09-02 10:24:40.000,,7,,0,0
1737,,347,1621,2022-09-02 10:34:05.000,,7,,0,0
