"ID","Date_perte_materiel"
187,2024-04-09 12:06:42.000
188,2025-06-25 14:22:29.000
195,2023-07-09 10:32:02.000
202,2022-02-09 10:56:40.000
205,2024-06-28 10:08:42.000
217,2021-07-09 08:48:48.000
218,2023-07-09 10:17:20.000
223,2022-02-09 10:55:16.000
224,2022-02-09 11:03:16.000
235,2023-07-09 10:16:10.000
245,2021-03-09 11:02:39.000
246,2024-05-09 08:22:13.000
269,2024-05-09 08:23:01.000
281,2022-02-09 10:56:36.000
282,2022-02-09 11:03:14.000
289,2021-03-09 11:21:32.000
296,2023-07-09 10:17:22.000
311,2022-02-09 10:55:15.000
314,2023-07-09 10:30:57.000
334,2024-05-09 08:34:08.000
458,2022-03-09 10:34:15.000
462,2021-04-09 10:12:07.000
467,2021-04-09 11:22:06.000
483,2024-06-28 08:54:50.000
484,2022-03-09 10:20:24.000
508,2023-06-09 10:37:43.000
510,2024-04-09 10:26:45.000
515,2021-04-09 11:33:38.000
516,2024-04-09 10:34:10.000
522,2022-03-09 10:20:00.000
526,2023-06-09 10:37:39.000
528,2022-08-09 07:56:47.000
533,2023-06-09 10:21:27.000
538,2023-06-09 10:23:06.000
547,2024-04-09 10:34:06.000
571,2023-06-09 10:22:19.000
578,2022-03-09 10:20:26.000
581,2024-06-28 08:54:50.000
590,2024-06-28 08:54:50.000
626,2024-04-09 10:34:12.000
627,2022-03-09 10:24:40.000
631,2024-04-09 10:35:09.000
633,2022-03-09 10:37:33.000
634,2024-04-09 10:26:47.000
663,2022-03-09 10:34:50.000
665,2021-04-09 11:20:13.000
672,2022-03-09 10:20:22.000
762,2023-06-09 11:15:11.000
770,2021-04-09 11:08:48.000
776,2024-06-28 08:10:37.000
779,2024-06-28 08:11:05.000
783,2023-06-09 11:13:09.000
784,2021-04-09 10:45:27.000
788,2023-06-09 11:18:40.000
791,2022-03-09 11:13:19.000
798,2022-03-09 11:04:38.000
801,2021-04-09 10:45:11.000
808,2023-06-09 11:14:06.000
811,2024-04-09 11:15:37.000
819,2022-03-09 11:16:05.000
821,2024-04-09 10:53:44.000
822,2021-04-09 10:56:35.000
831,2021-04-09 11:08:49.000
845,2024-04-09 10:57:48.000
872,2024-04-09 10:59:15.000
874,2023-06-09 11:15:13.000
876,2025-06-25 16:22:14.000
889,2024-04-09 11:17:00.000
891,2023-06-09 11:04:17.000
895,2024-04-09 11:15:36.000
896,2023-06-09 10:40:37.000
912,2021-04-09 11:02:10.000
914,2021-04-09 11:07:49.000
950,2024-04-09 11:15:34.000
953,2023-06-09 11:15:09.000
955,2024-04-09 10:54:19.000
959,2021-04-09 11:08:47.000
996,2024-04-09 11:15:32.000
998,2024-04-09 10:57:49.000
1006,2023-06-09 11:04:35.000
1009,2022-03-09 11:13:40.000
1013,2022-03-09 11:16:58.000
1016,2021-04-09 10:45:24.000
1017,2022-03-09 10:41:33.000
1029,2021-04-09 10:56:33.000
1033,2024-06-28 08:44:12.000
1034,2021-04-09 11:08:46.000
1043,2024-06-28 08:44:12.000
1044,2021-07-09 08:11:17.000
1045,2021-04-09 10:57:47.000
1066,2024-06-28 08:44:12.000
1068,2025-06-25 12:16:22.000
1072,2024-06-28 08:44:12.000
1078,2021-04-09 11:44:59.000
1079,2022-12-10 11:45:46.000
1080,2024-04-09 11:47:21.000
1086,2021-04-09 11:15:52.000
1088,2024-04-09 11:28:00.000
1093,2024-06-26 14:57:51.000
1101,2022-03-09 11:27:19.000
1110,2022-03-09 11:24:23.000
1120,2022-03-09 11:38:31.000
1132,2023-06-09 11:23:23.000
1145,2022-03-09 11:24:07.000
