"date_import","taux_runtime","nb_utilisateurs","nbeleves","inventaire","prets","references_cat","ver_win","NbWin","ver_acc","NbAcc","ver_gem","NbGem"
2025-11-24 14:20:16.000,0.494,336,194487,1044580,367580,10194,,0,,0,,0
,0.000,0,0,0,0,0,Windows 10 Education,15,,0,,0
,0.000,0,0,0,0,0,Windows 10 Enterprise,106,,0,,0
,0.000,0,0,0,0,0,Windows 10 Home,21,,0,,0
,0.000,0,0,0,0,0,Windows 10 Pro,135,,0,,0
,0.000,0,0,0,0,0,Windows 10 Pro Education,36,,0,,0
,0.000,0,0,0,0,0,Windows 10 Pro N,3,,0,,0
,0.000,0,0,0,0,0,Windows 7 Enterprise,1,,0,,0
,0.000,0,0,0,0,0,Windows 7 Home Premium,3,,0,,0
,0.000,0,0,0,0,0,Windows 7 Professional,14,,0,,0
,0.000,0,0,0,0,0,Windows Server 2016 Standard,2,,0,,0
,0.000,0,0,0,0,0,,0,"14",126,,0
,0.000,0,0,0,0,0,,0,"15",11,,0
,0.000,0,0,0,0,0,,0,"16",199,,0
,0.000,0,0,0,0,0,,0,,0,GEMASCO 3.2.5,1
,0.000,0,0,0,0,0,,0,,0,GEMASCO 3.4.0,1
,0.000,0,0,0,0,0,,0,,0,GEMASCO 3.4.1,15
,0.000,0,0,0,0,0,,0,,0,GEMASCO 4.0.0,44
,0.000,0,0,0,0,0,,0,,0,GEMASCO 4.0.1,3
,0.000,0,0,0,0,0,,0,,0,GEMASCO 4.0.2,19
,0.000,0,0,0,0,0,,0,,0,GEMASCO 4.0.3,2
,0.000,0,0,0,0,0,,0,,0,GEMASCO 4.0.4,2
,0.000,0,0,0,0,0,,0,,0,GEMASCO 4.0.5,14
,0.000,0,0,0,0,0,,0,,0,GEMASCO 4.0.6,20
,0.000,0,0,0,0,0,,0,,0,GEMASCO 4.0.7,144
,0.000,0,0,0,0,0,,0,,0,GEMASCO 4.1.0,1
,0.000,0,0,0,0,0,,0,,0,GEMASCO 4.1.B,1
,0.000,0,0,0,0,0,,0,,0,GEMASCO 4.1.D,1
,0.000,0,0,0,0,0,,0,,0,GEMASCO 4.1.K,3
,0.000,0,0,0,0,0,,0,,0,GEMASCO 4.1.N,1
,0.000,0,0,0,0,0,,0,,0,GEMASCO 4.1.P,1
,0.000,0,0,0,0,0,,0,,0,GEMASCO 4.2.0,42
,0.000,0,0,0,0,0,,0,,0,GEMASCO 4.2.1,21
